,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,5,250000,212500.0,2031,False,Baglan Generation Ltd
CCGT,0,13,250000,212500.0,2031,False,Barking Power
CCGT,0,19,250000,212500.0,2031,False,Centrica
OCGT,533.1323703269651,14,500000,460000.0,2030,False,Citigen (London) UK Ltd
CCGT,0,30,250000,212500.0,2031,False,Corby Power Ltd
CCGT,33.300010824628416,19,250000,212500.0,2031,False,Cory Energy Company Ltd
CCGT,205.5556998095489,10,250000,212500.0,2031,False,Derwent Cogeneration
OCGT,533.3133681209096,9,500000,460000.0,2030,False,Drax Power Ltd
Hydrogen,0,8,500000,425000.0,2031,False,EDF Energy
CCGT,352.41127063295926,20,250000,212500.0,2031,False,EDF Energy
Biomass,0,28,14000,12320.0,2030,False,EPR Ely Limited
Biomass,0,29,14000,12320.0,2030,False,E.On UK
CCGT,472.6236707917715,4,250000,212500.0,2031,False,E.On UK
CCGT,568.3269935544945,23,250000,212500.0,2031,False,GDF Suez
CCGT,593.4600029344055,14,250000,212500.0,2031,False,Immingham CHP LLP
BECCS,0,17,500000,440000.0,2030,False,International Power/Mitsui
CCGT,610.1871265025544,21,250000,212500.0,2031,False,International Power/Mitsui
CCGT,623.9905180640782,20,250000,212500.0,2031,False,Marchwood Power Limited
CCGT,647.0345072557247,16,250000,212500.0,2031,False,Rocksavage Power Co. Ltd
CCGT,658.4041628620791,1,250000,212500.0,2031,False,RWE Npower Plc
Biomass,0,4,14000,12320.0,2030,False,Sembcorp Utilities (UK) Ltd
CCGT,664.9334925345196,13,250000,212500.0,2031,False,Spalding Energy Company Ltd
