,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,10,250000,212500.0,2034,False,Baglan Generation Ltd
CCGT,0,8,250000,212500.0,2034,False,Barking Power
CCGT,0,26,250000,212500.0,2034,False,Centrica
OCGT,529.1382310336555,21,500000,460000.0,2033,False,Citigen (London) UK Ltd
CCGT,0,5,250000,212500.0,2034,False,Corby Power Ltd
CCGT,28.046606888923407,26,250000,212500.0,2034,False,Cory Energy Company Ltd
CCGT,244.8634546125561,19,250000,212500.0,2034,False,Derwent Cogeneration
OCGT,0,17,500000,460000.0,2033,False,Drax Power Ltd
Hydrogen,0,15,500000,425000.0,2034,False,EDF Energy
CCGT,403.2211122819731,14,250000,212500.0,2034,False,EDF Energy
Biomass,0,19,14000,12320.0,2033,False,EPR Ely Limited
Biomass,0,18,14000,12320.0,2033,False,E.On UK
CCGT,529.9124609472284,19,250000,212500.0,2034,False,E.On UK
CCGT,595.6987759647478,7,250000,212500.0,2034,False,GDF Suez
CCGT,605.0453617696342,28,250000,212500.0,2034,False,Immingham CHP LLP
BECCS,0,23,500000,440000.0,2033,False,International Power/Mitsui
CCGT,616.0721151303528,12,250000,212500.0,2034,False,International Power/Mitsui
CCGT,630.6062813575845,5,250000,212500.0,2034,False,Marchwood Power Limited
CCGT,652.1647730286841,20,250000,212500.0,2034,False,Rocksavage Power Co. Ltd
CCGT,662.4830371082044,9,250000,212500.0,2034,False,RWE Npower Plc
Biomass,0,9,14000,12320.0,2033,False,Sembcorp Utilities (UK) Ltd
