,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,7,250000,212500.0,2023,False,Baglan Generation Ltd
CCGT,0,15,250000,212500.0,2023,False,Barking Power
CCGT,0,28,250000,212500.0,2023,False,Centrica
OCGT,348.0991539850808,8,500000,460000.0,2022,False,Citigen (London) UK Ltd
CCGT,0,13,250000,212500.0,2023,False,Corby Power Ltd
CCGT,0,7,250000,212500.0,2023,False,Cory Energy Company Ltd
CCGT,0,10,250000,212500.0,2023,False,Derwent Cogeneration
OCGT,457.99815207730705,14,500000,460000.0,2022,False,Drax Power Ltd
CCGT,0,29,250000,212500.0,2023,False,EDF Energy
OCGT,511.03559228133076,13,500000,460000.0,2022,False,EDF Energy
Hydrogen,0,19,500000,425000.0,2023,False,EDF Energy
Biomass,0,6,14000,12320.0,2022,False,EPR Ely Limited
OCGT,513.1207655804491,30,500000,460000.0,2022,False,E.On UK
CCGT,0,27,250000,212500.0,2023,False,E.On UK
Biomass,0,12,14000,12320.0,2022,False,E.On UK
OCGT,514.8095175230092,9,500000,460000.0,2022,False,GDF Suez
CCGT,0,18,250000,212500.0,2023,False,GDF Suez
CCGT,0,3,250000,212500.0,2023,False,Immingham CHP LLP
OCGT,516.5236607867561,5,500000,460000.0,2022,False,International Power/Mitsui
CCGT,0,25,250000,212500.0,2023,False,International Power/Mitsui
BECCS,0,10,500000,440000.0,2022,False,International Power/Mitsui
CCGT,0,10,250000,212500.0,2023,False,Marchwood Power Limited
OCGT,519.2270056590716,15,500000,460000.0,2022,False,Px Limited
CCGT,0,17,250000,212500.0,2023,False,Rocksavage Power Co. Ltd
OCGT,519.5382405208865,12,500000,460000.0,2022,False,RWE Npower Plc
CCGT,100.09852660577589,8,250000,212500.0,2023,False,RWE Npower Plc
CCGT,275.85796775123777,19,250000,212500.0,2023,False,Thermal
OCGT,522.5241179932659,2,500000,460000.0,2022,False,Thermal
OCGT,522.7441322947008,15,500000,460000.0,2022,False,Thermal (continued)
CCGT,372.93468924442044,17,250000,212500.0,2023,False,Cruachan Thermal
OCGT,521.4994109074822,20,500000,460000.0,2022,False,Cruachan Thermal
CCGT,430.0490796242534,11,250000,212500.0,2023,False,Seabank Power Limited
OCGT,523.4377987401856,14,500000,460000.0,2022,False,Sembcorp Utilities (UK) Ltd
Biomass,0,15,14000,12320.0,2022,False,Sembcorp Utilities (UK) Ltd
CCGT,481.5381173413996,15,250000,212500.0,2023,False,Spalding Energy Company Ltd
OCGT,515.0612144231181,14,500000,460000.0,2022,False,Western Power Generation
