,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,16,250000,212500.0,2021,False,Baglan Generation Ltd
CCGT,0,26,250000,212500.0,2021,False,Barking Power
CCGT,0,26,250000,212500.0,2021,False,Centrica
OCGT,216.71801594737545,23,500000,460000.0,2020,False,Citigen (London) UK Ltd
CCGT,0,27,250000,212500.0,2021,False,Corby Power Ltd
CCGT,0,4,250000,212500.0,2021,False,Cory Energy Company Ltd
CCGT,0,15,250000,212500.0,2021,False,Derwent Cogeneration
OCGT,344.43131994307834,16,500000,460000.0,2020,False,Drax Power Ltd
CCGT,0,8,250000,212500.0,2021,False,EDF Energy
OCGT,415.6895213686397,3,500000,460000.0,2020,False,EDF Energy
Hydrogen,0,18,500000,425000.0,2021,False,EDF Energy
Biomass,0,25,14000,12320.0,2020,False,EPR Ely Limited
OCGT,417.57878281576296,1,500000,460000.0,2020,False,E.On UK
CCGT,0,23,250000,212500.0,2021,False,E.On UK
Biomass,0,24,14000,12320.0,2020,False,E.On UK
OCGT,426.4503961435617,14,500000,460000.0,2020,False,GDF Suez
CCGT,0,7,250000,212500.0,2021,False,Immingham CHP LLP
OCGT,429.82490114860633,5,500000,460000.0,2020,False,International Power/Mitsui
CCGT,0,12,250000,212500.0,2021,False,International Power/Mitsui
BECCS,0,18,500000,440000.0,2020,False,International Power/Mitsui
CCGT,0,8,250000,212500.0,2021,False,Marchwood Power Limited
OCGT,433.8130284873105,21,500000,460000.0,2020,False,Px Limited
OCGT,436.80303521556675,3,500000,460000.0,2020,False,RGS Energy Ltd
CCGT,0,1,250000,212500.0,2021,False,Rocksavage Power Co. Ltd
OCGT,438.2846521861355,16,500000,460000.0,2020,False,RWE Npower Plc
CCGT,0,22,250000,212500.0,2021,False,RWE Npower Plc
CCGT,32.165868587129296,10,250000,212500.0,2021,False,Thermal
OCGT,449.37078125872443,6,500000,460000.0,2020,False,Thermal
OCGT,451.2652082394924,23,500000,460000.0,2020,False,Thermal (continued)
CCGT,182.64060765866572,15,250000,212500.0,2021,False,Cruachan Thermal
OCGT,451.8121107383513,28,500000,460000.0,2020,False,Cruachan Thermal
CCGT,295.0235332481039,19,250000,212500.0,2021,False,Seabank Power Limited
OCGT,453.964075087394,24,500000,460000.0,2020,False,Sembcorp Utilities (UK) Ltd
Biomass,0,19,14000,12320.0,2020,False,Sembcorp Utilities (UK) Ltd
CCGT,356.3567061654667,1,250000,212500.0,2021,False,Spalding Energy Company Ltd
OCGT,445.7572604537444,15,500000,460000.0,2020,False,Western Power Generation
