Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
1,0.0,0.0,0.0,0.0,0.0,152830.0,0.0,477120.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,899000.0,0.0,568000.0,0.0,0,0,0
2,1003000.0,0.0,0.0,0.0,0.0,235790.00000000003,0.0,0.0,0.0,0,0,0,1180000.0,0.0,0.0,0.0,0.0,1387000.0,0.0,0.0,0.0,0,0,0
3,0.0,0.0,0.0,0.0,0.0,4760.0,0.0,220080.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,28000.0,0.0,262000.0,0.0,0,0,0
4,0.0,0.0,2027520.0,0.0,0.0,155210.0,0.0,85680.0,0.0,0,0,0,0.0,0.0,2304000.0,0.0,0.0,913000.0,0.0,102000.0,0.0,0,0,0
5,0.0,0.0,0.0,696600.0,2400.0,120530.0,0.0,220080.0,0.0,0,0,0,0.0,0.0,0.0,860000.0,10000.0,709000.0,0.0,262000.0,0.0,0,0,0
6,0.0,0.0,0.0,0.0,0.0,257550.00000000003,0.0,39480.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1515000.0,0.0,47000.0,0.0,0,0,0
7,1158550.0,0.0,1013760.0,976050.0000000001,0.0,96050.0,0.0,9240.0,0.0,0,0,0,1363000.0,0.0,1152000.0,1205000.0,0.0,565000.0,100000.0,11000.0,0.0,0,0,0
8,0.0,0.0,0.0,0.0,960.0,0.0,0.0,11760.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,14000.0,0.0,0,0,0
9,0.0,165600.0,0.0,0.0,43200.0,83130.0,0.0,32760.0,38720.0,0,0,0,0.0,180000.0,0.0,0.0,180000.0,489000.0,0.0,39000.0,44000.0,0,0,0
10,1593750.0,38640.0,246400.0,963900.0000000001,0.0,172720.00000000003,0.0,0.0,33440.0,0,0,0,1875000.0,42000.0,280000.0,1190000.0,0.0,1016000.0,0.0,0.0,38000.0,0,0,0
11,194650.0,0.0,0.0,1935900.0000000002,65664.0,5440.0,0.0,0.0,0.0,0,0,0,229000.0,0.0,0.0,2390000.0,273600.0,32000.0,0.0,0.0,0.0,0,0,0
12,1173000.0,0.0,0.0,793800.0,21600.0,64430.00000000001,0.0,58800.0,0.0,0,0,0,1380000.0,0.0,0.0,980000.0,90000.0,379000.0,0.0,70000.0,0.0,0,0,0
13,472600.0,214360.0,1742400.0,0.0,14400.0,15300.000000000002,0.0,0.0,0.0,0,0,0,556000.0,233000.0,1980000.0,0.0,60000.0,90000.0,0.0,0.0,0.0,0,0,0
14,736100.0,68080.0,5216640.0,0.0,0.0,55590.00000000001,0.0,0.0,0.0,0,0,0,866000.0,74000.0,5928000.0,0.0,0.0,327000.0,0.0,0.0,0.0,0,0,0
15,0.0,36800.0,1770560.0,0.0,0.0,4420.0,0.0,0.0,0.0,0,0,0,0.0,40000.0,2012000.0,0.0,0.0,26000.0,0.0,0.0,0.0,0,0,0
16,4300150.0,69000.0,3405600.0,0.0,23280.0,1530.0,0.0,0.0,0.0,0,0,0,5059000.0,75000.0,3870000.0,0.0,97000.0,9000.0,0.0,0.0,0.0,0,0,0
17,905250.0,77280.0,1760000.0,351540.0,0.0,110500.00000000001,0.0,0.0,0.0,0,0,0,1065000.0,84000.0,2000000.0,434000.0,0.0,650000.0,0.0,0.0,0.0,0,0,0
18,0.0,0.0,1738880.0,0.0,0.0,6970.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1976000.0,0.0,0.0,41000.0,0.0,0.0,0.0,0,0,0
19,2061250.0,0.0,0.0,0.0,23280.0,14960.0,0.0,0.0,0.0,0,0,0,2425000.0,0.0,0.0,0.0,97000.0,88000.0,0.0,0.0,0.0,0,0,0
20,357000.0,0.0,0.0,962280.0000000001,14400.0,83640.0,0.0,0.0,0.0,0,0,0,420000.0,0.0,0.0,1188000.0,60000.0,492000.0,0.0,0.0,0.0,0,0,0
21,565250.0,15640.0,0.0,0.0,0.0,4080.0000000000005,0.0,0.0,33440.0,0,0,0,665000.0,17000.0,0.0,0.0,0.0,24000.0,0.0,0.0,38000.0,0,0,0
22,0.0,92000.0,1723040.0,0.0,0.0,501670.00000000006,0.0,0.0,0.0,0,0,0,0.0,100000.0,1958000.0,0.0,0.0,2951000.0,0.0,0.0,0.0,0,0,0
23,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0,0,0
24,1038700.0,52440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1222000.0,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
25,940950.0,172960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1107000.0,188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
26,2114800.0,209760.0,935440.0,0.0,135168.0,215560.00000000003,0.0,0.0,0.0,0,0,0,2488000.0,228000.0,1063000.0,0.0,563200.0,1268000.0,111000.0,0.0,0.0,0,0,0
27,340000.0,40480.0,1707200.0,842400.0,21600.0,10200.0,0.0,0.0,0.0,0,0,0,400000.0,44000.0,1940000.0,1040000.0,90000.0,60000.0,0.0,0.0,0.0,0,0,0
28,1931200.0,191360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2272000.0,208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
29,769250.0,186760.0,0.0,696600.0,0.0,221170.00000000003,0.0,0.0,0.0,0,0,0,905000.0,203000.0,0.0,860000.0,0.0,1301000.0,100000.0,0.0,0.0,0,0,0
30,1364250.0,65320.0,1715120.0,0.0,0.0,129880.00000000001,0.0,41160.0,0.0,0,0,0,1605000.0,71000.0,1949000.0,0.0,0.0,764000.0,0.0,49000.0,0.0,0,0,0
