,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
Wind Onshore,2155340687560,Cemmaes Windfarm Ldt,17,30000,2054,0.9376026859888078,21515616.00301096,30000
Wind Onshore,2155341082504,Cold Northcott Windfarm Ltd,2,30000,2054,0.937506714573175,21514479.335029744,60000
Wind Onshore,2155602290824,Statkraft Energy Ltd,15,30000,2054,0.937506714573175,21514479.335029744,90000
Wind Onshore,2155511022600,Npower Renewables Ltd,12,30000,2054,0.937506714573175,21514479.335029744,120000
Wind Onshore,2155509781128,RES-Gen Ltd,11,30000,2054,0.9370440278154021,21508997.776806507,150000
Wind Onshore,2155510292552,Fred Olsen,10,30000,2054,0.9370440278154021,21508997.776806507,180000
Wind Onshore,2155510500936,Dong Energy,21,30000,2054,0.9369546861387777,21507939.02341335,210000
Wind Onshore,2155510293704,HG Capital,20,30000,2054,0.936945047554337,21507824.794468366,240000
Wind Onshore,2155511875528,Beaufort Wind Ltd,18,30000,2054,0.9369126635090291,21507440.995829765,270000
Wind Onshore,2155512901704,Great Orton Windfarm Ltd,8,30000,2054,0.936904536784404,21507344.68015787,300000
Wind Onshore,2155510296008,Kirkheaton Wind Ltd,21,30000,2054,0.9368696819298118,21506931.580983076,330000
Wind Onshore,2155510293576,K/S Winscales,26,30000,2054,0.93686520074417,21506878.468964446,360000
Wind Onshore,2155510294792,Llangwyryfon Windfarm Ltd,18,30000,2054,0.93686520074417,21506878.468964446,390000
Wind Onshore,2155511025480,Wind,21,30000,2054,0.9368579181675959,21506792.153707094,420000
Wind Onshore,2155602951048,EDF Energy Renewable,4,30000,2054,0.9368443567873994,21506631.41847732,450000
Wind Onshore,2155511875912,Fenland Windfarms Ltd,15,30000,2054,0.9368443567873994,21506631.41847732,480000
Wind Onshore,2155511024840,Yorkshire Windpower Ltd,25,30000,2054,0.9367396977760288,21505390.879767302,510000
Wind Onshore,2155342178248,Bares of Doune Windfarm,18,30000,2054,0.9367254572914907,21505222.074839458,540000
Wind Offshore,2155509875336,HG Capital,26,50000,2055,0.6850645997105075,32416610.150443517,50000
Wind Offshore,2155340920904,High Hedley Hope Wind Ltd,20,50000,2055,0.6850594056888448,32416464.29433836,100000
Wind Offshore,2155340747272,K/S Winscales,1,50000,2055,0.6850594056888448,32416464.29433836,150000
Wind Offshore,2155342008072,GDF Suez,16,50000,2055,0.6850160011404901,32415245.392806716,200000
Wind Offshore,2155510294920,Fenland Windfarms Ltd,28,50000,2055,0.6850160011404901,32415245.392806716,250000
Wind Offshore,2155510455752,Yorkshire Windpower Ltd,16,50000,2055,0.6849194406468379,32412533.52238906,300000
Wind Offshore,2155340827528,Cold Northcott Windfarm Ltd,13,50000,2055,0.6849194406468379,32412533.52238906,350000
Wind Offshore,2155341263368,Cemmaes Windfarm Ldt,16,50000,2055,0.6849194406468379,32412533.52238906,400000
Wind Offshore,2155511429576,Kirkheaton Wind Ltd,16,50000,2055,0.6848673850660656,32411071.42918563,450000
Wind Offshore,2155342178824,Npower Renewables Ltd,10,50000,2055,0.6848673850660656,32411071.42918563,500000
Wind Offshore,2155603495944,Wind,12,50000,2055,0.6848397903988669,32410296.33683037,550000
Wind Offshore,2155602289352,Talisman Energy,8,50000,2055,0.6848397903988669,32410296.33683037,600000
Wind Offshore,2155511738248,Fred Olsen,30,50000,2055,0.6848397903988669,32410296.33683037,650000
Wind Offshore,2155340230600,E.On UK,12,50000,2055,0.6847739823850083,32408447.78704004,700000
Wind Offshore,2155513198280,EDF Energy Renewable,8,50000,2055,0.6847739823850083,32408447.78704004,750000
Wind Offshore,2155510365512,Bares of Doune Windfarm,13,50000,2055,0.6847739823850083,32408447.78704004,800000
Wind Offshore,2155509784264,Infinis Windfarm,11,50000,2055,0.6847739823850083,32408447.78704004,850000
Wind Offshore,2155511368456,Centrica,11,50000,2055,0.6847694972272997,32408321.793520704,900000
Wind Offshore,2155340280712,Llangwyryfon Windfarm Ltd,16,50000,2055,0.6846954514824076,32406241.661789566,950000
Wind Offshore,2155342913736,Distributed Generation,27,50000,2055,0.6846954514824076,32406241.661789566,1000000
Nuclear,2155511650248,British Energy,7,1000000,2058,0.08235502488188011,331129480.9283972,1000000
Biomass,2155510453448,E.On UK,13,14000,2052,1.9202540474816292,42451638.875674665,14000
Biomass,2155342286152,EPR Ely Limited,22,14000,2052,1.9193820009054698,42445035.2183761,28000
Biomass,2155341996424,Sembcorp Utilities (UK) Ltd,1,14000,2052,1.9190581221270107,42442581.61008456,42000
Hydro,2155510294856,Breadalbane,9,10000,2052,0.9131462678007578,10457799.472718678,10000
Hydro,2155510246664,Npower Renewables Ltd,12,10000,2052,0.9127004872191264,10455130.315596564,20000
Hydro,2155341999176,Lanark,30,10000,2052,0.9126108266231469,10454593.313254932,30000
Hydro,2155340847304,Shin,1,10000,2052,0.9124801924184266,10453810.818407496,40000
Hydro,2155511656200,Small Hydros,7,10000,2052,0.9123921836327578,10453283.58823121,50000
Hydro,2155511024648,Scottish and Southern Hydro Schemes: Affric/Beauly,9,10000,2052,0.9123921836327578,10453283.58823121,60000
Solar,2155511378376,Distributed Generation,21,100000,2051,9.120198757328044,290564283.5390746,100000
