,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,25,250000,212500.0,2036,False,Baglan Generation Ltd
CCGT,0,16,250000,212500.0,2036,False,Barking Power
CCGT,0,8,250000,212500.0,2036,False,Centrica
OCGT,0,30,500000,460000.0,2035,False,Citigen (London) UK Ltd
CCGT,0,25,250000,212500.0,2036,False,Corby Power Ltd
CCGT,0,21,250000,212500.0,2036,False,Cory Energy Company Ltd
CCGT,240.68707330771406,5,250000,212500.0,2036,False,Derwent Cogeneration
OCGT,0,21,500000,460000.0,2035,False,Drax Power Ltd
Hydrogen,0,15,500000,425000.0,2036,False,EDF Energy
CCGT,429.39932780068085,16,250000,212500.0,2036,False,EDF Energy
Biomass,0,6,14000,12320.0,2035,False,EPR Ely Limited
Biomass,0,14,14000,12320.0,2035,False,E.On UK
CCGT,531.8967916373099,25,250000,212500.0,2036,False,E.On UK
CCGT,614.0710252897279,9,250000,212500.0,2036,False,GDF Suez
CCGT,620.5297283363655,18,250000,212500.0,2036,False,Immingham CHP LLP
BECCS,0,30,500000,440000.0,2035,False,International Power/Mitsui
CCGT,629.9126522440004,24,250000,212500.0,2036,False,International Power/Mitsui
CCGT,632.8735184258677,8,250000,212500.0,2036,False,Marchwood Power Limited
CCGT,650.046973976108,20,250000,212500.0,2036,False,Rocksavage Power Co. Ltd
Biomass,0,12,14000,12320.0,2035,False,Sembcorp Utilities (UK) Ltd
