,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
CCGT,2155340655496,Baglan Generation Ltd,27,250000,2015,3.483049100818679,996934433.9696689,250000
CCGT,2155340654984,Barking Power,10,250000,2015,3.4634913521076958,1724108433.9215558,500000
CCGT,2155342916360,Centrica,23,250000,2015,3.3011675409775814,1487183390.2059793,750000
CCGT,2155340675208,Corby Power Ltd,10,250000,2015,3.274594920514777,653602837.1472212,1000000
CCGT,2155340702920,Cory Energy Company Ltd,16,250000,2015,3.239502651743143,1290075115.1455212,1250000
CCGT,2155340687944,Derwent Cogeneration,27,250000,2015,3.206534404634297,341518739.9990754,1500000
CCGT,2155342914632,EDF Energy,12,250000,2015,3.1712417639428834,1262866821.6636472,1750000
CCGT,2155340688712,E.On UK,19,250000,2015,2.930881008193216,72878857.46060726,2000000
OCGT,2155340675592,Citigen (London) UK Ltd,19,500000,2014,1.589775936531916,20630075.10850601,500000
OCGT,2155341050440,Drax Power Ltd,1,500000,2014,1.580043240759569,49646228.87510997,1000000
Biomass,2155340686408,EPR Ely Limited,24,14000,2014,0.24041219576398065,14834659.43620132,14000
Biomass,2155340686024,E.On UK,19,14000,2014,0.23993423802439576,17144941.935909823,28000
Biomass,2155341627848,Sembcorp Utilities (UK) Ltd,24,14000,2014,0.23983575940733776,14800261.762997508,42000
Solar,2155342869448,Distributed Generation,18,100000,2013,5.088051132356231,266532504.41928172,100000
