,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,3,250000,212500.0,2050,False,Baglan Generation Ltd
CCGT,0,14,250000,212500.0,2050,False,Barking Power
CCGT,0,9,250000,212500.0,2050,False,Centrica
OCGT,0,5,500000,460000.0,2049,False,Citigen (London) UK Ltd
CCGT,0,8,250000,212500.0,2050,False,Corby Power Ltd
CCGT,0,1,250000,212500.0,2050,False,Cory Energy Company Ltd
CCGT,27.80204308255911,4,250000,212500.0,2050,False,Derwent Cogeneration
OCGT,0,5,500000,460000.0,2049,False,Drax Power Ltd
Hydrogen,0,16,500000,425000.0,2050,False,EDF Energy
CCGT,333.95369606666503,10,250000,212500.0,2050,False,EDF Energy
Biomass,0,13,14000,12320.0,2049,False,EPR Ely Limited
Biomass,0,19,14000,12320.0,2049,False,E.On UK
CCGT,0,30,250000,212500.0,2050,False,E.On UK
BECCS,0,2,500000,440000.0,2049,False,International Power/Mitsui
Biomass,0,4,14000,12320.0,2049,False,Sembcorp Utilities (UK) Ltd
