,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,2,250000,212500.0,2022,False,Baglan Generation Ltd
CCGT,0,17,250000,212500.0,2022,False,Barking Power
CCGT,0,1,250000,212500.0,2022,False,Centrica
OCGT,285.3494113355751,14,500000,460000.0,2021,False,Citigen (London) UK Ltd
CCGT,0,19,250000,212500.0,2022,False,Corby Power Ltd
CCGT,0,11,250000,212500.0,2022,False,Cory Energy Company Ltd
CCGT,0,18,250000,212500.0,2022,False,Derwent Cogeneration
OCGT,409.4916275473514,3,500000,460000.0,2021,False,Drax Power Ltd
CCGT,0,9,250000,212500.0,2022,False,EDF Energy
OCGT,471.0013817504151,29,500000,460000.0,2021,False,EDF Energy
Hydrogen,0,21,500000,425000.0,2022,False,EDF Energy
Biomass,0,14,14000,12320.0,2021,False,EPR Ely Limited
OCGT,472.6924941834714,29,500000,460000.0,2021,False,E.On UK
CCGT,0,16,250000,212500.0,2022,False,E.On UK
Biomass,0,4,14000,12320.0,2021,False,E.On UK
OCGT,479.5436315528151,16,500000,460000.0,2021,False,GDF Suez
CCGT,0,20,250000,212500.0,2022,False,Immingham CHP LLP
OCGT,482.20214124835036,21,500000,460000.0,2021,False,International Power/Mitsui
CCGT,0,12,250000,212500.0,2022,False,International Power/Mitsui
BECCS,0,24,500000,440000.0,2021,False,International Power/Mitsui
CCGT,0,23,250000,212500.0,2022,False,Marchwood Power Limited
OCGT,484.99820258795916,14,500000,460000.0,2021,False,Px Limited
OCGT,486.0332109531859,1,500000,460000.0,2021,False,RGS Energy Ltd
CCGT,0,6,250000,212500.0,2022,False,Rocksavage Power Co. Ltd
OCGT,487.08954877261925,10,500000,460000.0,2021,False,RWE Npower Plc
CCGT,0,24,250000,212500.0,2022,False,RWE Npower Plc
CCGT,156.4216013798154,7,250000,212500.0,2022,False,Thermal
OCGT,493.91710668409223,16,500000,460000.0,2021,False,Thermal
OCGT,495.5320470252216,12,500000,460000.0,2021,False,Thermal (continued)
CCGT,307.4768465262987,15,250000,212500.0,2022,False,Cruachan Thermal
OCGT,494.3436515645094,8,500000,460000.0,2021,False,Cruachan Thermal
CCGT,367.3431728790265,17,250000,212500.0,2022,False,Seabank Power Limited
OCGT,496.19605579363105,8,500000,460000.0,2021,False,Sembcorp Utilities (UK) Ltd
Biomass,0,19,14000,12320.0,2021,False,Sembcorp Utilities (UK) Ltd
CCGT,423.8998765475291,30,250000,212500.0,2022,False,Spalding Energy Company Ltd
OCGT,487.5869318497528,22,500000,460000.0,2021,False,Western Power Generation
