,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,23,250000,212500.0,2018,False,Baglan Generation Ltd
CCGT,0,21,250000,212500.0,2018,False,Barking Power
CCGT,0,11,250000,212500.0,2018,False,Centrica
OCGT,0,23,500000,460000.0,2017,False,Citigen (London) UK Ltd
CCGT,0,4,250000,212500.0,2018,False,Corby Power Ltd
CCGT,0,25,250000,212500.0,2018,False,Cory Energy Company Ltd
CCGT,0,12,250000,212500.0,2018,False,Derwent Cogeneration
OCGT,97.14829989496862,18,500000,460000.0,2017,False,Drax Power Ltd
CCGT,0,16,250000,212500.0,2018,False,EDF Energy
OCGT,188.7682326459445,19,500000,460000.0,2017,False,EDF Energy
Hydrogen,0,19,500000,425000.0,2018,False,EDF Energy
Biomass,0,22,14000,12320.0,2017,False,EPR Ely Limited
OCGT,195.8517298511709,23,500000,460000.0,2017,False,E.On UK
CCGT,0,14,250000,212500.0,2018,False,E.On UK
Biomass,0,22,14000,12320.0,2017,False,E.On UK
OCGT,210.05823742066633,24,500000,460000.0,2017,False,GDF Suez
CCGT,0,29,250000,212500.0,2018,False,GDF Suez
CCGT,0,27,250000,212500.0,2018,False,Immingham CHP LLP
OCGT,219.70485673169298,18,500000,460000.0,2017,False,International Power/Mitsui
CCGT,0,10,250000,212500.0,2018,False,International Power/Mitsui
BECCS,0,23,500000,440000.0,2017,False,International Power/Mitsui
CCGT,0,26,250000,212500.0,2018,False,Marchwood Power Limited
OCGT,231.64579443043462,1,500000,460000.0,2017,False,Px Limited
OCGT,236.81464242229146,17,500000,460000.0,2017,False,RGS Energy Ltd
CCGT,0,4,250000,212500.0,2018,False,Rocksavage Power Co. Ltd
OCGT,239.1595976887713,1,500000,460000.0,2017,False,RWE Npower Plc
CCGT,0,13,250000,212500.0,2018,False,RWE Npower Plc
CCGT,0,5,250000,212500.0,2018,False,Thermal
OCGT,264.5876596666967,2,500000,460000.0,2017,False,Thermal
OCGT,267.5626434600857,22,500000,460000.0,2017,False,Thermal (continued)
CCGT,0,2,250000,212500.0,2018,False,Cruachan Thermal
OCGT,268.3544042718532,7,500000,460000.0,2017,False,Cruachan Thermal
CCGT,86.24986371794454,9,250000,212500.0,2018,False,Seabank Power Limited
OCGT,272.67799583677106,25,500000,460000.0,2017,False,Sembcorp Utilities (UK) Ltd
Biomass,0,26,14000,12320.0,2017,False,Sembcorp Utilities (UK) Ltd
CCGT,150.5176389128221,6,250000,212500.0,2018,False,Spalding Energy Company Ltd
OCGT,264.5868440613294,10,500000,460000.0,2017,False,Western Power Generation
