,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
Baglan Generation Ltd,3825000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking Power,3400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaufort Wind Ltd,0.0,0.0,0.0,0.0,60000.0,40800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0
Bares of Doune Windfarm,0.0,0.0,0.0,0.0,48000.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0
British Energy,0.0,0.0,0.0,12970530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16013000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cemmaes Windfarm Ldt,0.0,0.0,0.0,0.0,72000.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0
Centrica,3612500.0,0.0,0.0,0.0,60000.0,15300.0,0.0,0.0,0.0,0.0,0.0,0.0,4250000.0,0.0,0.0,0.0,250000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0
Citigen (London) UK Ltd,0.0,8280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cold Northcott Windfarm Ltd,0.0,0.0,0.0,0.0,60000.0,40800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0
Corby Power Ltd,3825000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
