,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,16,250000,212500.0,2053,False,Baglan Generation Ltd
CCGT,0,16,250000,212500.0,2053,False,Barking Power
CCGT,0,20,250000,212500.0,2053,False,Centrica
OCGT,0,14,500000,460000.0,2052,False,Citigen (London) UK Ltd
CCGT,0,14,250000,212500.0,2053,False,Corby Power Ltd
CCGT,0,2,250000,212500.0,2053,False,Cory Energy Company Ltd
CCGT,0,28,250000,212500.0,2053,False,Derwent Cogeneration
OCGT,0,11,500000,460000.0,2052,False,Drax Power Ltd
Hydrogen,0,9,500000,425000.0,2053,False,EDF Energy
CCGT,0,30,250000,212500.0,2053,False,EDF Energy
Biomass,0,17,14000,12320.0,2052,False,EPR Ely Limited
Biomass,0,27,14000,12320.0,2052,False,E.On UK
CCGT,0,29,250000,212500.0,2053,False,E.On UK
BECCS,0,19,500000,440000.0,2052,False,International Power/Mitsui
Biomass,0,13,14000,12320.0,2052,False,Sembcorp Utilities (UK) Ltd
