,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,9,250000,212500.0,2030,False,Baglan Generation Ltd
CCGT,0,14,250000,212500.0,2030,False,Barking Power
CCGT,0,2,250000,212500.0,2030,False,Centrica
OCGT,527.6302230154729,25,500000,460000.0,2029,False,Citigen (London) UK Ltd
CCGT,0,14,250000,212500.0,2030,False,Corby Power Ltd
CCGT,28.295496546527684,2,250000,212500.0,2030,False,Cory Energy Company Ltd
CCGT,182.654567231735,28,250000,212500.0,2030,False,Derwent Cogeneration
OCGT,527.6393457044616,11,500000,460000.0,2029,False,Drax Power Ltd
Hydrogen,0,25,500000,425000.0,2030,False,EDF Energy
CCGT,322.1713067002983,13,250000,212500.0,2030,False,EDF Energy
Biomass,0,1,14000,12320.0,2029,False,EPR Ely Limited
CCGT,435.354127183308,7,250000,212500.0,2030,False,E.On UK
Biomass,0,22,14000,12320.0,2029,False,E.On UK
CCGT,544.8071540545709,24,250000,212500.0,2030,False,GDF Suez
CCGT,574.6643192001764,30,250000,212500.0,2030,False,Immingham CHP LLP
BECCS,0,20,500000,440000.0,2029,False,International Power/Mitsui
CCGT,594.1970447014245,13,250000,212500.0,2030,False,International Power/Mitsui
CCGT,607.5042328098418,15,250000,212500.0,2030,False,Marchwood Power Limited
CCGT,634.0725162881149,20,250000,212500.0,2030,False,Rocksavage Power Co. Ltd
CCGT,647.6641651224055,27,250000,212500.0,2030,False,RWE Npower Plc
Biomass,4.055609286497494,28,14000,12320.0,2029,False,Sembcorp Utilities (UK) Ltd
CCGT,657.5507680931937,8,250000,212500.0,2030,False,Spalding Energy Company Ltd
