,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,4,250000,212500.0,2043,False,Baglan Generation Ltd
CCGT,0,11,250000,212500.0,2043,False,Barking Power
CCGT,0,30,250000,212500.0,2043,False,Centrica
OCGT,0,8,500000,460000.0,2042,False,Citigen (London) UK Ltd
CCGT,0,3,250000,212500.0,2043,False,Corby Power Ltd
CCGT,0,20,250000,212500.0,2043,False,Cory Energy Company Ltd
CCGT,160.2047327824074,8,250000,212500.0,2043,False,Derwent Cogeneration
OCGT,0,21,500000,460000.0,2042,False,Drax Power Ltd
CCGT,406.1055146710052,29,250000,212500.0,2043,False,EDF Energy
Hydrogen,0,13,500000,425000.0,2043,False,EDF Energy
Biomass,0,24,14000,12320.0,2042,False,EPR Ely Limited
CCGT,582.1107641941644,5,250000,212500.0,2043,False,E.On UK
Biomass,0,25,14000,12320.0,2042,False,E.On UK
BECCS,0,19,500000,440000.0,2042,False,International Power/Mitsui
Biomass,0,6,14000,12320.0,2042,False,Sembcorp Utilities (UK) Ltd
