,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
Wind Onshore,2155512197896,K/S Winscales,26,30000,2045,0.3867035832631986,8874526.508843917,30000
Wind Onshore,2155124706184,Bares of Doune Windfarm,4,30000,2045,0.3867035832631986,8874526.508843917,60000
Wind Onshore,2155342120136,Npower Renewables Ltd,17,30000,2045,0.3867035832631986,8874526.508843917,90000
Wind Onshore,2155510307784,Statkraft Energy Ltd,11,30000,2045,0.3866085715749589,8872954.010672256,120000
Wind Onshore,2155510191112,Beaufort Wind Ltd,29,30000,2045,0.3866085715749589,8872954.010672256,150000
Wind Onshore,2155340748552,HG Capital,22,30000,2045,0.38651006770826263,8871323.487394694,180000
Wind Onshore,2155602621256,Yorkshire Windpower Ltd,11,30000,2045,0.38648794989705115,8870957.341935635,210000
Wind Onshore,2155509408840,Dong Energy,29,30000,2045,0.3864544064924779,8870402.031185504,240000
Wind Onshore,2155340197000,Fenland Windfarms Ltd,13,30000,2045,0.3863745688119317,8869080.211035214,270000
Wind Onshore,2155511964360,EDF Energy Renewable,7,30000,2045,0.38629431158029953,8867751.291201219,300000
Wind Onshore,2155342217544,Cemmaes Windfarm Ldt,26,30000,2045,0.38629431158029953,8867751.291201219,330000
Wind Onshore,2155512387784,Wind,14,30000,2045,0.38626741262846837,8867305.857026324,360000
Wind Onshore,2155513336904,Llangwyryfon Windfarm Ltd,3,30000,2045,0.3862355753509741,8866778.624128863,390000
Wind Onshore,2155340846408,Great Orton Windfarm Ltd,30,30000,2045,0.3861828678707649,8865905.722468186,420000
Wind Onshore,2155340938568,RES-Gen Ltd,25,30000,2045,0.38610607919990125,8864633.88742327,450000
Wind Onshore,2155510307016,Fred Olsen,12,30000,2045,0.38609425843782436,8864438.09004344,480000
Wind Onshore,2155511539784,Cold Northcott Windfarm Ltd,20,30000,2045,0.38606366433730105,8863931.318315111,510000
Wind Onshore,2155511540808,Kirkheaton Wind Ltd,14,30000,2045,0.38604235186511593,8863578.277609393,540000
Biomass,2155603494344,EPR Ely Limited,12,14000,2043,1.1115562138455761,24582541.66811835,14000
Biomass,2155511131912,Sembcorp Utilities (UK) Ltd,8,14000,2043,1.1115344052895113,24582313.25339056,28000
Biomass,2155510899656,E.On UK,23,14000,2043,1.1112492200108692,24579325.894227996,42000
Hydro,2155341024648,Scottish and Southern Hydro Schemes: Affric/Beauly,3,10000,2043,0.41490770112679937,4753753.332091995,10000
Hydro,2155340776200,Lanark,12,10000,2043,0.41487926856675406,4753523.09158719,20000
Hydro,2155509756936,Small Hydros,30,10000,2043,0.41487926856675406,4753523.09158719,30000
Hydro,2155342284168,Breadalbane,4,10000,2043,0.4148006026605421,4752886.024471609,40000
Hydro,2155531017352,Shin,3,10000,2043,0.4146276128670661,4751484.836597234,50000
Hydro,2155342120904,Npower Renewables Ltd,9,10000,2043,0.4146276128670661,4751484.836597234,60000
Solar,2155511876424,Distributed Generation,29,100000,2042,8.787708726270354,289149508.1427342,100000
