,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,4,250000,212500.0,2025,False,Baglan Generation Ltd
CCGT,0,30,250000,212500.0,2025,False,Barking Power
CCGT,0,6,250000,212500.0,2025,False,Centrica
OCGT,459.6491017788067,15,500000,460000.0,2024,False,Citigen (London) UK Ltd
CCGT,0,14,250000,212500.0,2025,False,Corby Power Ltd
CCGT,0,12,250000,212500.0,2025,False,Cory Energy Company Ltd
CCGT,0,6,250000,212500.0,2025,False,Derwent Cogeneration
OCGT,530.0173497645251,18,500000,460000.0,2024,False,Drax Power Ltd
CCGT,0,20,250000,212500.0,2025,False,EDF Energy
OCGT,550.1012959200007,6,500000,460000.0,2024,False,EDF Energy
Hydrogen,0,18,500000,425000.0,2025,False,EDF Energy
Biomass,0,14,14000,12320.0,2024,False,EPR Ely Limited
CCGT,0,13,250000,212500.0,2025,False,E.On UK
Biomass,0,10,14000,12320.0,2024,False,E.On UK
OCGT,552.3527486307388,28,500000,460000.0,2024,False,GDF Suez
CCGT,0,22,250000,212500.0,2025,False,GDF Suez
CCGT,17.10488077191345,23,250000,212500.0,2025,False,Immingham CHP LLP
CCGT,113.46491134074425,22,250000,212500.0,2025,False,International Power/Mitsui
BECCS,0,23,500000,440000.0,2024,False,International Power/Mitsui
CCGT,188.16889540774915,21,250000,212500.0,2025,False,Marchwood Power Limited
CCGT,290.60224816539846,10,250000,212500.0,2025,False,Rocksavage Power Co. Ltd
OCGT,552.3385752301118,23,500000,460000.0,2024,False,RWE Npower Plc
CCGT,387.30810189169256,20,250000,212500.0,2025,False,RWE Npower Plc
CCGT,484.62586293358953,30,250000,212500.0,2025,False,Thermal
OCGT,553.3218559812817,29,500000,460000.0,2024,False,Thermal
OCGT,553.5420077680078,28,500000,460000.0,2024,False,Thermal (continued)
CCGT,531.4343587395501,4,250000,212500.0,2025,False,Cruachan Thermal
OCGT,551.6430792515416,3,500000,460000.0,2024,False,Cruachan Thermal
CCGT,562.9274653313423,26,250000,212500.0,2025,False,Seabank Power Limited
OCGT,553.6190661597052,27,500000,460000.0,2024,False,Sembcorp Utilities (UK) Ltd
Biomass,0,4,14000,12320.0,2024,False,Sembcorp Utilities (UK) Ltd
CCGT,588.4380721308315,3,250000,212500.0,2025,False,Spalding Energy Company Ltd
