,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,10,250000,212500.0,2024,False,Baglan Generation Ltd
CCGT,0,19,250000,212500.0,2024,False,Barking Power
CCGT,0,27,250000,212500.0,2024,False,Centrica
OCGT,448.7682950314344,26,500000,460000.0,2023,False,Citigen (London) UK Ltd
CCGT,0,16,250000,212500.0,2024,False,Corby Power Ltd
CCGT,0,4,250000,212500.0,2024,False,Cory Energy Company Ltd
CCGT,0,17,250000,212500.0,2024,False,Derwent Cogeneration
OCGT,517.4508411321328,12,500000,460000.0,2023,False,Drax Power Ltd
CCGT,0,23,250000,212500.0,2024,False,EDF Energy
OCGT,546.6493241549482,19,500000,460000.0,2023,False,EDF Energy
Hydrogen,0,28,500000,425000.0,2024,False,EDF Energy
Biomass,0,10,14000,12320.0,2023,False,EPR Ely Limited
OCGT,547.5485504964004,18,500000,460000.0,2023,False,E.On UK
CCGT,0,9,250000,212500.0,2024,False,E.On UK
Biomass,0,20,14000,12320.0,2023,False,E.On UK
OCGT,548.0404163191869,4,500000,460000.0,2023,False,GDF Suez
CCGT,0,29,250000,212500.0,2024,False,GDF Suez
CCGT,44.33120442491885,2,250000,212500.0,2024,False,Immingham CHP LLP
OCGT,548.4484003681031,6,500000,460000.0,2023,False,International Power/Mitsui
CCGT,134.66496757751977,11,250000,212500.0,2024,False,International Power/Mitsui
BECCS,0,22,500000,440000.0,2023,False,International Power/Mitsui
CCGT,204.11997294223588,6,250000,212500.0,2024,False,Marchwood Power Limited
CCGT,283.6914365103469,12,250000,212500.0,2024,False,Rocksavage Power Co. Ltd
OCGT,548.2327738457773,26,500000,460000.0,2023,False,RWE Npower Plc
CCGT,378.2540925439762,24,250000,212500.0,2024,False,RWE Npower Plc
CCGT,472.01208521785384,22,250000,212500.0,2024,False,Thermal
OCGT,548.2261980923,26,500000,460000.0,2023,False,Thermal
OCGT,548.5244919415446,18,500000,460000.0,2023,False,Thermal (continued)
CCGT,514.1272445987337,18,250000,212500.0,2024,False,Cruachan Thermal
OCGT,546.975457125303,20,500000,460000.0,2023,False,Cruachan Thermal
CCGT,554.9872861957884,29,250000,212500.0,2024,False,Seabank Power Limited
OCGT,548.8928427141683,28,500000,460000.0,2023,False,Sembcorp Utilities (UK) Ltd
Biomass,0,13,14000,12320.0,2023,False,Sembcorp Utilities (UK) Ltd
CCGT,578.0915222647039,16,250000,212500.0,2024,False,Spalding Energy Company Ltd
