,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,27,250000,212500.0,2028,False,Baglan Generation Ltd
CCGT,0,3,250000,212500.0,2028,False,Barking Power
CCGT,0,14,250000,212500.0,2028,False,Centrica
OCGT,530.3630049300123,28,500000,460000.0,2027,False,Citigen (London) UK Ltd
CCGT,0,21,250000,212500.0,2028,False,Corby Power Ltd
CCGT,0,10,250000,212500.0,2028,False,Cory Energy Company Ltd
CCGT,33.77317551202941,8,250000,212500.0,2028,False,Derwent Cogeneration
OCGT,530.3721276190009,23,500000,460000.0,2027,False,Drax Power Ltd
OCGT,530.8318088236238,3,500000,460000.0,2027,False,EDF Energy
Hydrogen,0,21,500000,425000.0,2028,False,EDF Energy
CCGT,161.62540432909316,21,250000,212500.0,2028,False,EDF Energy
Biomass,0,26,14000,12320.0,2027,False,EPR Ely Limited
CCGT,299.74206655012335,13,250000,212500.0,2028,False,E.On UK
Biomass,0,29,14000,12320.0,2027,False,E.On UK
OCGT,549.6797390469652,16,500000,460000.0,2027,False,GDF Suez
CCGT,417.3808178686587,1,250000,212500.0,2028,False,GDF Suez
CCGT,470.2443240324109,9,250000,212500.0,2028,False,Immingham CHP LLP
CCGT,532.0022072364069,24,250000,212500.0,2028,False,International Power/Mitsui
BECCS,0,19,500000,440000.0,2027,False,International Power/Mitsui
CCGT,572.1005059200329,2,250000,212500.0,2028,False,Marchwood Power Limited
CCGT,601.7258517072639,5,250000,212500.0,2028,False,Rocksavage Power Co. Ltd
CCGT,622.2109023514404,28,250000,212500.0,2028,False,RWE Npower Plc
CCGT,633.4870321668348,8,250000,212500.0,2028,False,Thermal
CCGT,641.7433634568014,6,250000,212500.0,2028,False,Cruachan Thermal
CCGT,654.6024246062442,19,250000,212500.0,2028,False,Seabank Power Limited
Biomass,0,1,14000,12320.0,2027,False,Sembcorp Utilities (UK) Ltd
CCGT,660.1116444305105,5,250000,212500.0,2028,False,Spalding Energy Company Ltd
