,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,27,250000,212500.0,2027,False,Baglan Generation Ltd
CCGT,0,7,250000,212500.0,2027,False,Barking Power
CCGT,0,9,250000,212500.0,2027,False,Centrica
OCGT,526.5471485555613,29,500000,460000.0,2026,False,Citigen (London) UK Ltd
CCGT,0,7,250000,212500.0,2027,False,Corby Power Ltd
CCGT,0,6,250000,212500.0,2027,False,Cory Energy Company Ltd
CCGT,0,10,250000,212500.0,2027,False,Derwent Cogeneration
OCGT,526.5562712445501,9,500000,460000.0,2026,False,Drax Power Ltd
CCGT,17.52895581146404,23,250000,212500.0,2027,False,EDF Energy
OCGT,528.011970856685,15,500000,460000.0,2026,False,EDF Energy
Hydrogen,0,9,500000,425000.0,2027,False,EDF Energy
Biomass,0,3,14000,12320.0,2026,False,EPR Ely Limited
CCGT,180.21814347001046,16,250000,212500.0,2027,False,E.On UK
Biomass,0,12,14000,12320.0,2026,False,E.On UK
OCGT,548.4040751883083,19,500000,460000.0,2026,False,GDF Suez
CCGT,349.29643631893003,12,250000,212500.0,2027,False,GDF Suez
CCGT,398.642932258832,12,250000,212500.0,2027,False,Immingham CHP LLP
CCGT,462.13850722327453,25,250000,212500.0,2027,False,International Power/Mitsui
BECCS,0,28,500000,440000.0,2026,False,International Power/Mitsui
CCGT,526.1955330691519,15,250000,212500.0,2027,False,Marchwood Power Limited
CCGT,569.8498412759218,27,250000,212500.0,2027,False,Rocksavage Power Co. Ltd
OCGT,546.2057161142772,21,500000,460000.0,2026,False,RWE Npower Plc
CCGT,592.6434910864355,22,250000,212500.0,2027,False,RWE Npower Plc
CCGT,615.6218522426271,27,250000,212500.0,2027,False,Thermal
OCGT,546.7838864167068,6,500000,460000.0,2026,False,Thermal (continued)
CCGT,633.3289502900542,2,250000,212500.0,2027,False,Cruachan Thermal
OCGT,545.9774177757006,27,500000,460000.0,2026,False,Cruachan Thermal
CCGT,647.930909292267,19,250000,212500.0,2027,False,Seabank Power Limited
OCGT,548.0856403233082,13,500000,460000.0,2026,False,Sembcorp Utilities (UK) Ltd
Biomass,0,5,14000,12320.0,2026,False,Sembcorp Utilities (UK) Ltd
CCGT,655.8441682504305,18,250000,212500.0,2027,False,Spalding Energy Company Ltd
