,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,23,250000,212500.0,2013,False,Baglan Generation Ltd
CCGT,0,23,250000,212500.0,2013,False,Barking Power
CCGT,0,13,250000,212500.0,2013,False,Centrica
OCGT,0,16,500000,460000.0,2012,False,Citigen (London) UK Ltd
CCGT,0,13,250000,212500.0,2013,False,Corby Power Ltd
CCGT,0,8,250000,212500.0,2013,False,Cory Energy Company Ltd
CCGT,0,5,250000,212500.0,2013,False,Derwent Cogeneration
OCGT,0,21,500000,460000.0,2012,False,Drax Power Ltd
CCGT,0,23,250000,212500.0,2013,False,EDF Energy
OCGT,0,1,500000,460000.0,2012,False,EDF Energy
Biomass,1304.8115503839927,29,14000,12320.0,2012,False,EPR Ely Limited
OCGT,0,25,500000,460000.0,2012,False,E.On UK
CCGT,0,28,250000,212500.0,2013,False,E.On UK
Biomass,1305.0120772490643,25,14000,12320.0,2012,False,E.On UK
OCGT,0,29,500000,460000.0,2012,False,GDF Suez
CCGT,0,4,250000,212500.0,2013,False,GDF Suez
CCGT,0,25,250000,212500.0,2013,False,Immingham CHP LLP
OCGT,0,14,500000,460000.0,2012,False,International Power/Mitsui
CCGT,0,8,250000,212500.0,2013,False,International Power/Mitsui
CCGT,0,6,250000,212500.0,2013,False,Marchwood Power Limited
OCGT,0,26,500000,460000.0,2012,False,Px Limited
OCGT,0,23,500000,460000.0,2012,False,RGS Energy Ltd
CCGT,0,17,250000,212500.0,2013,False,Rocksavage Power Co. Ltd
OCGT,0,15,500000,460000.0,2012,False,RWE Npower Plc
CCGT,0,2,250000,212500.0,2013,False,RWE Npower Plc
CCGT,0,18,250000,212500.0,2013,False,Thermal
OCGT,0,8,500000,460000.0,2012,False,Thermal
OCGT,0,30,500000,460000.0,2012,False,Thermal (continued)
CCGT,0,28,250000,212500.0,2013,False,Cruachan Thermal
OCGT,0,4,500000,460000.0,2012,False,Cruachan Thermal
CCGT,4.309248986583185,15,250000,212500.0,2013,False,Seabank Power Limited
OCGT,0,5,500000,460000.0,2012,False,Sembcorp Utilities (UK) Ltd
Biomass,1304.9400804335257,26,14000,12320.0,2012,False,Sembcorp Utilities (UK) Ltd
CCGT,20.305238233173572,15,250000,212500.0,2013,False,Spalding Energy Company Ltd
OCGT,0,22,500000,460000.0,2012,False,Western Power Generation
