,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,1,250000,212500.0,2038,False,Baglan Generation Ltd
CCGT,0,25,250000,212500.0,2038,False,Barking Power
CCGT,0,17,250000,212500.0,2038,False,Centrica
OCGT,0,10,500000,460000.0,2037,False,Citigen (London) UK Ltd
CCGT,0,11,250000,212500.0,2038,False,Corby Power Ltd
CCGT,102.484265396828,2,250000,212500.0,2038,False,Cory Energy Company Ltd
CCGT,379.5734515348971,23,250000,212500.0,2038,False,Derwent Cogeneration
OCGT,0,15,500000,460000.0,2037,False,Drax Power Ltd
Hydrogen,0,21,500000,425000.0,2038,False,EDF Energy
CCGT,503.1274675790955,27,250000,212500.0,2038,False,EDF Energy
Biomass,0,27,14000,12320.0,2037,False,EPR Ely Limited
Biomass,0,18,14000,12320.0,2037,False,E.On UK
CCGT,606.1535497239869,13,250000,212500.0,2038,False,E.On UK
CCGT,663.6219709691558,1,250000,212500.0,2038,False,GDF Suez
BECCS,0,18,500000,440000.0,2037,False,International Power/Mitsui
CCGT,659.8207986655075,8,250000,212500.0,2038,False,Marchwood Power Limited
Biomass,0,12,14000,12320.0,2037,False,Sembcorp Utilities (UK) Ltd
