,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,22,250000,212500.0,2042,False,Baglan Generation Ltd
CCGT,0,10,250000,212500.0,2042,False,Barking Power
CCGT,0,9,250000,212500.0,2042,False,Centrica
OCGT,0,19,500000,460000.0,2041,False,Citigen (London) UK Ltd
CCGT,0,29,250000,212500.0,2042,False,Corby Power Ltd
CCGT,0,24,250000,212500.0,2042,False,Cory Energy Company Ltd
CCGT,167.58185675344885,22,250000,212500.0,2042,False,Derwent Cogeneration
OCGT,0,6,500000,460000.0,2041,False,Drax Power Ltd
CCGT,414.50050670945575,7,250000,212500.0,2042,False,EDF Energy
Hydrogen,0,10,500000,425000.0,2042,False,EDF Energy
Biomass,0,23,14000,12320.0,2041,False,EPR Ely Limited
CCGT,591.3510181192702,7,250000,212500.0,2042,False,E.On UK
Biomass,0,12,14000,12320.0,2041,False,E.On UK
BECCS,0,23,500000,440000.0,2041,False,International Power/Mitsui
Biomass,0,19,14000,12320.0,2041,False,Sembcorp Utilities (UK) Ltd
