,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,20,250000,212500.0,2047,False,Baglan Generation Ltd
CCGT,0,16,250000,212500.0,2047,False,Barking Power
CCGT,0,20,250000,212500.0,2047,False,Centrica
OCGT,0,2,500000,460000.0,2046,False,Citigen (London) UK Ltd
CCGT,0,1,250000,212500.0,2047,False,Corby Power Ltd
CCGT,0,16,250000,212500.0,2047,False,Cory Energy Company Ltd
CCGT,188.44077342660194,2,250000,212500.0,2047,False,Derwent Cogeneration
OCGT,0,23,500000,460000.0,2046,False,Drax Power Ltd
Hydrogen,0,10,500000,425000.0,2047,False,EDF Energy
CCGT,410.2126010304625,28,250000,212500.0,2047,False,EDF Energy
Biomass,0,11,14000,12320.0,2046,False,EPR Ely Limited
Biomass,0,29,14000,12320.0,2046,False,E.On UK
CCGT,0,12,250000,212500.0,2047,False,E.On UK
BECCS,0,18,500000,440000.0,2046,False,International Power/Mitsui
Biomass,0,18,14000,12320.0,2046,False,Sembcorp Utilities (UK) Ltd
