,WholesalePrice
0,-0.011113487977835283
1,-0.011113487977835283
2,-0.011113487977835283
3,-0.011113487977835283
4,-0.011113487977835283
5,-0.011113487977835283
6,-0.011113487977835283
7,-0.011113487977835283
8,0.027000000000000003
9,0.029839720792242348
10,0.029839720792242348
11,0.03715915176658657
12,0.040035981602457485
13,0.040035981602457485
14,0.040035981602457485
15,0.040035981602457485
16,0.040035981602457485
17,0.040035981602457485
18,0.03715915176658657
19,0.029839720792242348
20,0.029839720792242348
21,0.027
22,0.027
23,-0.011113487977835283
24,-0.011113487977835283
25,0.027
26,0.027
27,0.029839720792242348
28,0.02983972079224235
29,0.029839720792242348
30,0.03715915176658657
31,0.040035981602457485
32,0.040035981602457485
33,0.040035981602457485
34,0.040035981602457485
35,0.040035981602457485
36,0.040035981602457485
37,0.040035981602457485
38,0.040035981602457485
39,0.040035981602457485
40,0.040035981602457485
41,0.040035981602457485
42,0.040035981602457485
43,0.04003598160245749
44,0.040035981602457485
45,0.029839720792242348
46,0.027
47,-0.011113487977835283
48,-0.011113487977835283
49,-0.011113487977835283
50,-0.011113487977835283
51,-0.011113487977835283
52,-0.011113487977835283
53,-0.011113487977835283
54,0.027
55,0.029839720792242348
56,0.029839720792242348
57,0.03715915176658657
58,0.03715915176658657
59,0.03715915176658657
60,0.03715915176658657
61,0.03715915176658657
62,0.03715915176658657
63,0.04003598160245749
64,0.040035981602457485
65,0.040035981602457485
66,0.040035981602457485
67,0.040035981602457485
68,0.040035981602457485
69,0.029839720792242348
70,0.029839720792242348
71,0.027
72,0.029839720792242348
73,0.029839720792242348
74,0.029839720792242348
75,0.037159151766586566
76,0.03715915176658657
77,0.040035981602457485
78,0.040035981602457485
79,0.040035981602457485
80,0.040035981602457485
81,0.040035981602457485
82,0.040035981602457485
83,0.040035981602457485
84,0.040035981602457485
85,0.040035981602457485
86,0.040035981602457485
87,0.040035981602457485
88,0.040035981602457485
89,0.040035981602457485
90,0.040035981602457485
91,0.040035981602457485
92,0.040035981602457485
93,0.040035981602457485
94,0.040035981602457485
95,0.040035981602457485
96,0.04003598160245749
97,0.040035981602457485
98,0.040035981602457485
99,0.040035981602457485
100,0.040035981602457485
101,0.040035981602457485
102,0.040035981602457485
103,0.040035981602457485
104,0.040035981602457485
105,0.040035981602457485
106,0.040035981602457485
107,0.040035981602457485
108,0.040035981602457485
109,0.040035981602457485
110,0.040035981602457485
111,0.040035981602457485
112,0.040035981602457485
113,0.040035981602457485
114,0.040035981602457485
115,0.040035981602457485
116,0.040035981602457485
117,0.040035981602457485
118,0.040035981602457485
119,0.037159151766586566
120,0.029839720792242348
121,0.029839720792242348
122,0.029839720792242348
123,0.027
124,0.027
125,0.027
126,0.027
127,0.027
128,0.029839720792242348
129,0.029839720792242348
130,0.03715915176658657
131,0.040035981602457485
132,0.040035981602457485
133,0.040035981602457485
134,0.040035981602457485
135,0.040035981602457485
136,0.040035981602457485
137,0.040035981602457485
138,0.04003598160245749
139,0.040035981602457485
140,0.040035981602457485
141,0.040035981602457485
142,0.040035981602457485
143,0.03715915176658657
144,0.037159151766586566
145,0.03715915176658657
146,0.03715915176658657
147,0.040035981602457485
148,0.029839720792242348
149,0.029839720792242348
150,0.029839720792242348
151,0.03715915176658657
152,0.040035981602457485
153,0.040035981602457485
154,0.040035981602457485
155,0.040035981602457485
156,0.040035981602457485
157,0.040035981602457485
158,0.040035981602457485
159,0.040035981602457485
160,0.040035981602457485
161,0.040035981602457485
162,0.040035981602457485
163,0.040035981602457485
164,0.040035981602457485
165,0.040035981602457485
166,0.03715915176658657
167,0.029839720792242348
168,0.029839720792242348
169,0.029839720792242348
170,0.029839720792242348
171,0.027
172,0.027
173,0.02983972079224235
174,0.03715915176658657
175,0.040035981602457485
176,0.040035981602457485
177,0.040035981602457485
178,0.040035981602457485
179,0.040035981602457485
180,0.040035981602457485
181,0.040035981602457485
182,0.040035981602457485
183,0.040035981602457485
184,0.040035981602457485
185,0.040035981602457485
186,0.040035981602457485
187,0.04003598160245749
188,0.040035981602457485
189,0.040035981602457485
190,0.029839720792242348
191,0.029839720792242348
192,0.029839720792242348
193,0.02983972079224235
194,0.029839720792242348
195,0.029839720792242348
196,0.029839720792242348
197,0.029839720792242348
198,0.040035981602457485
199,0.040035981602457485
200,0.040035981602457485
201,0.040035981602457485
202,0.040035981602457485
203,0.040035981602457485
204,0.040035981602457485
205,0.040035981602457485
206,0.040035981602457485
207,0.040035981602457485
208,0.040035981602457485
209,0.040035981602457485
210,0.040035981602457485
211,0.040035981602457485
212,0.040035981602457485
213,0.040035981602457485
214,0.040035981602457485
215,0.03715915176658657
216,0.03715915176658657
217,0.03715915176658657
218,0.03715915176658657
219,0.040035981602457485
220,0.040035981602457485
221,0.040035981602457485
222,0.040035981602457485
