,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,13,250000,212500.0,2040,False,Baglan Generation Ltd
CCGT,0,7,250000,212500.0,2040,False,Barking Power
CCGT,0,12,250000,212500.0,2040,False,Centrica
OCGT,0,12,500000,460000.0,2039,False,Citigen (London) UK Ltd
CCGT,0,25,250000,212500.0,2040,False,Corby Power Ltd
CCGT,0,17,250000,212500.0,2040,False,Cory Energy Company Ltd
CCGT,0,10,250000,212500.0,2040,False,Derwent Cogeneration
OCGT,0,29,500000,460000.0,2039,False,Drax Power Ltd
Hydrogen,0,5,500000,425000.0,2040,False,EDF Energy
CCGT,275.3476221053603,28,250000,212500.0,2040,False,EDF Energy
Biomass,0,6,14000,12320.0,2039,False,EPR Ely Limited
Biomass,0,15,14000,12320.0,2039,False,E.On UK
CCGT,503.29781601773703,21,250000,212500.0,2040,False,E.On UK
BECCS,0,10,500000,440000.0,2039,False,International Power/Mitsui
Biomass,0,15,14000,12320.0,2039,False,Sembcorp Utilities (UK) Ltd
