,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
Biomass,2155513079240,EPR Ely Limited,30,14000,2037,0.7649130303368892,16911145.984274495,14000
Biomass,2155340919624,E.On UK,14,14000,2037,0.7575604930014513,16752744.022989217,28000
Biomass,2155510296392,Sembcorp Utilities (UK) Ltd,16,14000,2037,0.7504076221128836,16598999.730117038,42000
Hydro,2155342207560,Scottish and Southern Hydro Schemes: Affric/Beauly,3,10000,2037,0.18861612852905144,2160610.5200958457,10000
Hydro,2155341999752,Breadalbane,12,10000,2037,0.1882149694789521,2156743.1188324653,20000
Hydro,2155340062280,Npower Renewables Ltd,7,10000,2037,0.18816111832574453,2156223.7642939407,30000
Hydro,2155510244360,Small Hydros,9,10000,2037,0.1881599513469508,2156212.5091255493,40000
Hydro,2155342376584,Lanark,30,10000,2037,0.18810724085960523,2155704.1088724844,50000
Hydro,2155511875848,Shin,10,10000,2037,0.18809040192473025,2155541.685409354,60000
Solar,2155340666312,Distributed Generation,1,100000,2036,8.158808038660478,286601455.776627,100000
