,2024
0,-0.01
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-0.01
9,0.04004662415578254
10,0.04004662415578254
11,0.04004662415578254
12,0.04004662415578254
13,0.04004662415578254
14,0.04004662415578254
15,0.04004662415578254
16,0.04004662415578254
17,0.04004662415578254
18,0.04004662415578255
19,0.04004662415578254
20,0.04004662415578254
21,0.04004662415578254
22,0.04004662415578254
23,-0.01
24,0.04004662415578254
25,0.04004662415578254
26,0.04004662415578254
27,0.04004662415578254
28,0.04004662415578254
29,0.04004662415578254
30,0.04004662415578254
31,0.04004662415578254
32,0.04004662415578254
33,0.04004662415578254
34,0.04004662415578254
35,0.04004662415578254
36,0.04004662415578254
37,0.04004662415578254
38,0.04004662415578254
39,0.04004662415578254
40,0.04004662415578254
41,0.04004662415578254
42,0.04004662415578254
43,0.04004662415578254
44,0.04004662415578254
45,0.04004662415578254
46,0.04004662415578254
47,0.04004662415578254
48,-0.01
49,-0.01
50,-0.01
51,-0.01
52,-0.01
53,-0.01
54,0.04004662415578254
55,0.04004662415578254
56,0.04004662415578254
57,0.04004662415578254
58,0.04004662415578254
59,0.04004662415578254
60,0.04004662415578254
61,0.04004662415578254
62,0.04004662415578254
63,0.04004662415578254
64,0.04004662415578254
65,0.04004662415578254
66,0.04004662415578254
67,0.04004662415578254
68,0.04004662415578254
69,0.04004662415578254
70,0.04004662415578254
71,0.04004662415578254
72,0.04004662415578254
73,0.04004662415578254
74,0.04004662415578254
75,0.04004662415578254
76,0.04004662415578254
77,0.04004662415578254
78,0.04004662415578254
79,0.04004662415578254
80,0.04004662415578254
81,0.04004662415578254
82,0.04004662415578254
83,0.04004662415578254
84,0.04004662415578254
85,0.04004662415578254
86,0.04004662415578254
87,0.04004662415578254
88,0.04004662415578254
89,0.04004662415578254
90,0.04004662415578254
91,0.04004662415578254
92,0.04004662415578254
93,0.04004662415578254
94,0.04004662415578254
95,0.04004662415578254
96,0.04004662415578254
97,0.04004662415578254
98,0.04004662415578254
99,0.04004662415578254
100,0.04004662415578254
101,0.04004662415578254
102,0.04004662415578254
103,0.04004662415578254
104,0.04004662415578254
105,0.06264434462498067
106,0.06264434462498067
107,0.06264434462498068
108,0.04004662415578254
109,0.04004662415578254
110,0.04004662415578254
111,0.06264434462498067
112,0.06264434462498067
113,0.06264434462498067
114,0.06264434462498067
115,0.06264434462498067
116,0.04004662415578254
117,0.04004662415578254
118,0.04004662415578254
119,0.04004662415578254
120,0.04004662415578254
121,0.04004662415578254
122,0.04004662415578254
123,0.04004662415578254
124,0.04004662415578254
125,0.04004662415578254
126,0.04004662415578254
127,0.04004662415578254
128,0.04004662415578254
129,0.04004662415578254
130,0.04004662415578254
131,0.04004662415578254
132,0.04004662415578254
133,0.04004662415578254
134,0.04004662415578254
135,0.04004662415578254
136,0.04004662415578254
137,0.04004662415578254
138,0.04004662415578254
139,0.04004662415578254
140,0.04004662415578254
141,0.04004662415578254
142,0.04004662415578254
143,0.04004662415578254
144,0.04004662415578254
145,0.04004662415578254
146,0.04004662415578254
147,0.04004662415578254
148,0.04004662415578254
149,0.04004662415578254
