,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,1,250000,212500.0,2045,False,Baglan Generation Ltd
CCGT,0,11,250000,212500.0,2045,False,Barking Power
CCGT,0,28,250000,212500.0,2045,False,Centrica
OCGT,0,11,500000,460000.0,2044,False,Citigen (London) UK Ltd
CCGT,0,10,250000,212500.0,2045,False,Corby Power Ltd
CCGT,0,18,250000,212500.0,2045,False,Cory Energy Company Ltd
CCGT,103.27721908556998,27,250000,212500.0,2045,False,Derwent Cogeneration
OCGT,0,6,500000,460000.0,2044,False,Drax Power Ltd
CCGT,337.3336932976159,27,250000,212500.0,2045,False,EDF Energy
Hydrogen,0,19,500000,425000.0,2045,False,EDF Energy
Biomass,0,17,14000,12320.0,2044,False,EPR Ely Limited
Biomass,0,28,14000,12320.0,2044,False,E.On UK
CCGT,0,29,250000,212500.0,2045,False,E.On UK
BECCS,0,26,500000,440000.0,2044,False,International Power/Mitsui
Biomass,0,30,14000,12320.0,2044,False,Sembcorp Utilities (UK) Ltd
