,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
CCGT,2155340655496,Baglan Generation Ltd,10,250000,2016,3.436237549941937,983535815.2233589,250000
CCGT,2155340654984,Barking Power,14,250000,2016,3.4075617863525727,1696266979.6718442,500000
CCGT,2155342916360,Centrica,10,250000,2016,3.2024875048036767,1442727812.3169222,750000
CCGT,2155340675208,Corby Power Ltd,26,250000,2016,3.1558402297348542,629899629.6658828,1000000
CCGT,2155340702920,Cory Energy Company Ltd,7,250000,2016,3.1097133355697024,1238388796.2851205,1250000
CCGT,2155340687944,Derwent Cogeneration,17,250000,2016,3.073054398565378,327302169.16738796,1500000
CCGT,2155342914632,EDF Energy,16,250000,2016,3.0397201362601862,1210491660.0407856,1750000
CCGT,2155340688712,E.On UK,24,250000,2016,2.7677145966315133,68821585.39213297,2000000
OCGT,2155510839368,Citigen (London) UK Ltd,15,500000,2015,1.0587784382229033,221903770.83236313,500000
OCGT,2155511449800,Drax Power Ltd,12,500000,2015,0.9613883200098656,201496676.47402918,1000000
Biomass,2155342203272,E.On UK,17,14000,2015,0.23241067248573477,5280173.193748523,14000
Biomass,2155342381384,EPR Ely Limited,23,14000,2015,0.23235397529140714,5280058.601440053,28000
Biomass,2155342294920,Sembcorp Utilities (UK) Ltd,28,14000,2015,0.23137430007073823,5258398.889082152,42000
Solar,2155340210440,Distributed Generation,9,100000,2014,5.0889401731827,266540152.9622552,100000
