,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,24,250000,212500.0,2041,False,Baglan Generation Ltd
CCGT,0,18,250000,212500.0,2041,False,Barking Power
CCGT,0,1,250000,212500.0,2041,False,Centrica
OCGT,0,11,500000,460000.0,2040,False,Citigen (London) UK Ltd
CCGT,0,1,250000,212500.0,2041,False,Corby Power Ltd
CCGT,0,30,250000,212500.0,2041,False,Cory Energy Company Ltd
CCGT,0,3,250000,212500.0,2041,False,Derwent Cogeneration
OCGT,0,30,500000,460000.0,2040,False,Drax Power Ltd
Hydrogen,0,23,500000,425000.0,2041,False,EDF Energy
CCGT,247.83353235975082,30,250000,212500.0,2041,False,EDF Energy
Biomass,0,10,14000,12320.0,2040,False,EPR Ely Limited
Biomass,0,4,14000,12320.0,2040,False,E.On UK
CCGT,487.1692628954833,25,250000,212500.0,2041,False,E.On UK
BECCS,0,24,500000,440000.0,2040,False,International Power/Mitsui
Biomass,0,4,14000,12320.0,2040,False,Sembcorp Utilities (UK) Ltd
