,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,29,250000,212500.0,2029,False,Baglan Generation Ltd
CCGT,0,27,250000,212500.0,2029,False,Barking Power
CCGT,0,15,250000,212500.0,2029,False,Centrica
OCGT,530.7741226110701,16,500000,460000.0,2028,False,Citigen (London) UK Ltd
CCGT,0,11,250000,212500.0,2029,False,Corby Power Ltd
CCGT,0,23,250000,212500.0,2029,False,Cory Energy Company Ltd
CCGT,173.40970494960672,6,250000,212500.0,2029,False,Derwent Cogeneration
OCGT,530.7832453000588,10,500000,460000.0,2028,False,Drax Power Ltd
OCGT,548.0876285398584,10,500000,460000.0,2028,False,EDF Energy
Hydrogen,0,4,500000,425000.0,2029,False,EDF Energy
CCGT,315.6635040652858,26,250000,212500.0,2029,False,EDF Energy
Biomass,0,18,14000,12320.0,2028,False,EPR Ely Limited
CCGT,430.46228517076264,6,250000,212500.0,2029,False,E.On UK
Biomass,0,29,14000,12320.0,2028,False,E.On UK
CCGT,542.3897347794426,29,250000,212500.0,2029,False,GDF Suez
CCGT,572.5838427635866,5,250000,212500.0,2029,False,Immingham CHP LLP
BECCS,0,14,500000,440000.0,2028,False,International Power/Mitsui
CCGT,593.8758574131124,14,250000,212500.0,2029,False,International Power/Mitsui
CCGT,606.754716151882,4,250000,212500.0,2029,False,Marchwood Power Limited
CCGT,633.2548769807141,18,250000,212500.0,2029,False,Rocksavage Power Co. Ltd
CCGT,648.7171854922899,30,250000,212500.0,2029,False,RWE Npower Plc
Biomass,0,20,14000,12320.0,2028,False,Sembcorp Utilities (UK) Ltd
CCGT,660.7379514951191,14,250000,212500.0,2029,False,Spalding Energy Company Ltd
