,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
CCGT,2155509898632,Baglan Generation Ltd,2,250000,2017,2.87363469303728,357590524.091715,250000
CCGT,2155510678088,Barking Power,5,250000,2017,2.8274198515170097,351829722.3082738,500000
CCGT,2155341082504,Centrica,28,250000,2017,2.6097687091530055,324747427.86436033,750000
CCGT,2155343049992,Corby Power Ltd,22,250000,2017,2.5657771972105374,319282683.8321215,1000000
CCGT,2155341135112,Cory Energy Company Ltd,19,250000,2017,2.5042507212209637,311623388.6831235,1250000
CCGT,2155511451400,Derwent Cogeneration,11,250000,2017,2.4747835427506164,307933042.9835335,1500000
CCGT,2155340957640,EDF Energy,18,250000,2017,2.4123723523107317,300171918.74812734,1750000
CCGT,2155341024200,E.On UK,5,250000,2017,2.1169620358464587,263431613.2097658,2000000
OCGT,2155343051720,Citigen (London) UK Ltd,12,500000,2016,0.41932580532098884,87883279.7110582,500000
OCGT,2155342488840,Drax Power Ltd,5,500000,2016,0.255438563336539,53536795.31309047,1000000
Hydrogen,2155342321096,EDF Energy,23,500000,2017,2.5947073032006194,694223475.3647592,500000
Biomass,2155342286664,EPR Ely Limited,30,14000,2016,0.057961308994729795,1317133.42731997,14000
Biomass,2155341023688,E.On UK,6,14000,2016,0.05772461429399917,1311457.2960960008,28000
Biomass,2155510901128,Sembcorp Utilities (UK) Ltd,23,14000,2016,0.0564997383205492,1283920.174811665,42000
Solar,2155341021256,Distributed Generation,9,100000,2015,5.088076996623894,266532726.96475387,100000
