,ObjectID,Generation_Company,Busbar,Capacity_kW,Start_Year,ROI,NPV,Cumulative_Capacity_kW
CCGT,2155340687944,Derwent Cogeneration,18,250000,2014,4.517534399840194,481149571.9197999,250000
CCGT,2155340675208,Corby Power Ltd,26,250000,2014,4.517064909488979,901597453.145756,500000
CCGT,2155340655496,Baglan Generation Ltd,16,250000,2014,4.51672311925329,1292797395.6014888,750000
CCGT,2155340702920,Cory Energy Company Ltd,5,250000,2014,4.516629927006866,1798668653.6643991,1000000
CCGT,2155342916360,Centrica,24,250000,2014,4.516608886239661,2034742445.6025112,1250000
CCGT,2155340654984,Barking Power,3,250000,2014,4.516582855102624,2248332044.556466,1500000
CCGT,2155342914632,EDF Energy,19,250000,2014,4.515015978915966,1797990914.4375415,1750000
CCGT,2155340688712,E.On UK,4,250000,2014,4.433086273675004,110232473.35752517,2000000
OCGT,2155340675592,Citigen (London) UK Ltd,12,500000,2013,4.088382843531331,53053794.05752847,500000
OCGT,2155341050440,Drax Power Ltd,2,500000,2013,4.070744678293351,127906070.40193033,1000000
Biomass,2155340686408,EPR Ely Limited,22,14000,2013,0.5641436364568602,34810541.50910734,14000
Biomass,2155341627848,Sembcorp Utilities (UK) Ltd,27,14000,2013,0.5640198396497397,34805657.36722508,28000
Biomass,2155340686024,E.On UK,19,14000,2013,0.5639552466534717,40298458.60240406,42000
Hydro,2155341997640,Npower Renewables Ltd,4,10000,2013,0.14079916958230349,159237.58798960177,10000
Hydro,2155340757128,Shin,3,10000,2013,0.14056691857075324,159007.29413952958,20000
Hydro,2155342058184,Small Hydros,6,10000,2013,0.131255360898358,299392.6190180592,30000
Hydro,2155341235912,Great Glen,4,10000,2013,0.12810947822190755,439547.6500465181,40000
Hydro,2155340756808,Breadalbane,10,10000,2013,0.12603439336934455,577633.1438769866,50000
Hydro,2155340775944,Lanark,8,10000,2013,0.12472345106967457,858436.7716855966,60000
Solar,2155512052744,Distributed Generation,2,100000,2012,5.088035880993417,266532373.19017816,100000
