,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,15,250000,212500.0,2032,False,Baglan Generation Ltd
CCGT,0,15,250000,212500.0,2032,False,Barking Power
CCGT,0,20,250000,212500.0,2032,False,Centrica
OCGT,533.285058793522,10,500000,460000.0,2031,False,Citigen (London) UK Ltd
CCGT,0,13,250000,212500.0,2032,False,Corby Power Ltd
CCGT,33.94505052351504,6,250000,212500.0,2032,False,Cory Energy Company Ltd
CCGT,206.28019107588906,2,250000,212500.0,2032,False,Derwent Cogeneration
OCGT,533.6593227948728,23,500000,460000.0,2031,False,Drax Power Ltd
Hydrogen,0,15,500000,425000.0,2032,False,EDF Energy
CCGT,355.23857767704703,29,250000,212500.0,2032,False,EDF Energy
Biomass,0,5,14000,12320.0,2031,False,EPR Ely Limited
Biomass,0,24,14000,12320.0,2031,False,E.On UK
CCGT,478.69062324536276,13,250000,212500.0,2032,False,E.On UK
CCGT,569.8223743465555,25,250000,212500.0,2032,False,GDF Suez
CCGT,593.8069540289105,28,250000,212500.0,2032,False,Immingham CHP LLP
BECCS,0,23,500000,440000.0,2031,False,International Power/Mitsui
CCGT,612.5714180242866,22,250000,212500.0,2032,False,International Power/Mitsui
CCGT,624.7719217565734,5,250000,212500.0,2032,False,Marchwood Power Limited
CCGT,648.4409723655169,20,250000,212500.0,2032,False,Rocksavage Power Co. Ltd
CCGT,659.401498898852,5,250000,212500.0,2032,False,RWE Npower Plc
Biomass,0,12,14000,12320.0,2031,False,Sembcorp Utilities (UK) Ltd
CCGT,665.9312761502989,1,250000,212500.0,2032,False,Spalding Energy Company Ltd
