,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,10,250000,212500.0,2026,False,Baglan Generation Ltd
CCGT,0,30,250000,212500.0,2026,False,Barking Power
CCGT,0,27,250000,212500.0,2026,False,Centrica
OCGT,521.3796179177939,9,500000,460000.0,2025,False,Citigen (London) UK Ltd
CCGT,0,13,250000,212500.0,2026,False,Corby Power Ltd
CCGT,0,23,250000,212500.0,2026,False,Cory Energy Company Ltd
CCGT,0,12,250000,212500.0,2026,False,Derwent Cogeneration
OCGT,521.3887406067826,3,500000,460000.0,2025,False,Drax Power Ltd
CCGT,0,28,250000,212500.0,2026,False,EDF Energy
OCGT,523.4838510533194,28,500000,460000.0,2025,False,EDF Energy
Hydrogen,0,6,500000,425000.0,2026,False,EDF Energy
Biomass,0,10,14000,12320.0,2025,False,EPR Ely Limited
CCGT,0,3,250000,212500.0,2026,False,E.On UK
Biomass,0,18,14000,12320.0,2025,False,E.On UK
OCGT,546.058719831438,19,500000,460000.0,2025,False,GDF Suez
CCGT,143.65091515144164,8,250000,212500.0,2026,False,GDF Suez
CCGT,188.28415325652395,28,250000,212500.0,2026,False,Immingham CHP LLP
CCGT,283.5749559402932,17,250000,212500.0,2026,False,International Power/Mitsui
BECCS,0,28,500000,440000.0,2025,False,International Power/Mitsui
CCGT,365.7143400742405,10,250000,212500.0,2026,False,Marchwood Power Limited
CCGT,450.3487297538771,13,250000,212500.0,2026,False,Rocksavage Power Co. Ltd
OCGT,531.7899526156243,20,500000,460000.0,2025,False,RWE Npower Plc
CCGT,537.2507754374487,2,250000,212500.0,2026,False,RWE Npower Plc
CCGT,588.8524539607345,18,250000,212500.0,2026,False,Thermal
OCGT,534.808118696974,23,500000,460000.0,2025,False,Thermal (continued)
CCGT,610.5152910215916,29,250000,212500.0,2026,False,Cruachan Thermal
OCGT,535.4597549535147,4,500000,460000.0,2025,False,Cruachan Thermal
CCGT,629.7797566127063,19,250000,212500.0,2026,False,Seabank Power Limited
OCGT,545.7403681897631,16,500000,460000.0,2025,False,Sembcorp Utilities (UK) Ltd
Biomass,0,30,14000,12320.0,2025,False,Sembcorp Utilities (UK) Ltd
CCGT,649.0134292418629,30,250000,212500.0,2026,False,Spalding Energy Company Ltd
