,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,12,250000,212500.0,2035,False,Baglan Generation Ltd
CCGT,0,8,250000,212500.0,2035,False,Barking Power
CCGT,0,27,250000,212500.0,2035,False,Centrica
OCGT,502.38316618551323,21,500000,460000.0,2034,False,Citigen (London) UK Ltd
CCGT,0,30,250000,212500.0,2035,False,Corby Power Ltd
CCGT,0,7,250000,212500.0,2035,False,Cory Energy Company Ltd
CCGT,126.25323943963743,21,250000,212500.0,2035,False,Derwent Cogeneration
OCGT,0,22,500000,460000.0,2034,False,Drax Power Ltd
Hydrogen,0,19,500000,425000.0,2035,False,EDF Energy
CCGT,315.68828674510195,29,250000,212500.0,2035,False,EDF Energy
Biomass,0,30,14000,12320.0,2034,False,EPR Ely Limited
Biomass,0,23,14000,12320.0,2034,False,E.On UK
CCGT,474.92412006124465,23,250000,212500.0,2035,False,E.On UK
CCGT,556.0007527130421,10,250000,212500.0,2035,False,GDF Suez
CCGT,566.9010490916179,7,250000,212500.0,2035,False,Immingham CHP LLP
BECCS,0,12,500000,440000.0,2034,False,International Power/Mitsui
CCGT,580.1221312011238,20,250000,212500.0,2035,False,International Power/Mitsui
CCGT,597.2914982463586,3,250000,212500.0,2035,False,Marchwood Power Limited
CCGT,627.2187324077838,21,250000,212500.0,2035,False,Rocksavage Power Co. Ltd
CCGT,635.3266711488826,25,250000,212500.0,2035,False,RWE Npower Plc
Biomass,0,13,14000,12320.0,2034,False,Sembcorp Utilities (UK) Ltd
