,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,18,250000,212500.0,2044,False,Baglan Generation Ltd
CCGT,0,2,250000,212500.0,2044,False,Barking Power
CCGT,0,12,250000,212500.0,2044,False,Centrica
OCGT,0,16,500000,460000.0,2043,False,Citigen (London) UK Ltd
CCGT,0,30,250000,212500.0,2044,False,Corby Power Ltd
CCGT,0,13,250000,212500.0,2044,False,Cory Energy Company Ltd
CCGT,168.71687361378974,8,250000,212500.0,2044,False,Derwent Cogeneration
OCGT,0,3,500000,460000.0,2043,False,Drax Power Ltd
Hydrogen,0,22,500000,425000.0,2044,False,EDF Energy
CCGT,405.49296381777685,27,250000,212500.0,2044,False,EDF Energy
Biomass,0,2,14000,12320.0,2043,False,EPR Ely Limited
Biomass,0,3,14000,12320.0,2043,False,E.On UK
CCGT,591.6309027694356,1,250000,212500.0,2044,False,E.On UK
BECCS,0,30,500000,440000.0,2043,False,International Power/Mitsui
Biomass,0,20,14000,12320.0,2043,False,Sembcorp Utilities (UK) Ltd
