,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,10,250000,212500.0,2019,False,Baglan Generation Ltd
CCGT,0,1,250000,212500.0,2019,False,Barking Power
CCGT,0,1,250000,212500.0,2019,False,Centrica
OCGT,183.41194107280805,17,500000,460000.0,2018,False,Citigen (London) UK Ltd
CCGT,0,27,250000,212500.0,2019,False,Corby Power Ltd
CCGT,0,25,250000,212500.0,2019,False,Cory Energy Company Ltd
CCGT,0,28,250000,212500.0,2019,False,Derwent Cogeneration
OCGT,294.72767282032464,5,500000,460000.0,2018,False,Drax Power Ltd
CCGT,0,12,250000,212500.0,2019,False,EDF Energy
OCGT,385.3395263353918,10,500000,460000.0,2018,False,EDF Energy
Hydrogen,0,16,500000,425000.0,2019,False,EDF Energy
Biomass,0,18,14000,12320.0,2018,False,EPR Ely Limited
OCGT,389.21808898453753,1,500000,460000.0,2018,False,E.On UK
CCGT,0,23,250000,212500.0,2019,False,E.On UK
Biomass,0,30,14000,12320.0,2018,False,E.On UK
OCGT,399.43965615842427,16,500000,460000.0,2018,False,GDF Suez
CCGT,0,25,250000,212500.0,2019,False,GDF Suez
CCGT,0,16,250000,212500.0,2019,False,Immingham CHP LLP
OCGT,402.3468625607342,10,500000,460000.0,2018,False,International Power/Mitsui
CCGT,0,1,250000,212500.0,2019,False,International Power/Mitsui
BECCS,0,23,500000,440000.0,2018,False,International Power/Mitsui
CCGT,0,26,250000,212500.0,2019,False,Marchwood Power Limited
OCGT,406.11503568989303,10,500000,460000.0,2018,False,Px Limited
OCGT,407.795889741672,20,500000,460000.0,2018,False,RGS Energy Ltd
CCGT,0,8,250000,212500.0,2019,False,Rocksavage Power Co. Ltd
OCGT,408.71635252050845,26,500000,460000.0,2018,False,RWE Npower Plc
CCGT,0,1,250000,212500.0,2019,False,RWE Npower Plc
CCGT,6.299908155506951,18,250000,212500.0,2019,False,Thermal
OCGT,423.86707007679377,12,500000,460000.0,2018,False,Thermal
OCGT,425.1998207838359,7,500000,460000.0,2018,False,Thermal (continued)
CCGT,161.37489966978438,14,250000,212500.0,2019,False,Cruachan Thermal
OCGT,424.26868684558264,29,500000,460000.0,2018,False,Cruachan Thermal
CCGT,261.4755788428559,18,250000,212500.0,2019,False,Seabank Power Limited
OCGT,426.5235024353077,14,500000,460000.0,2018,False,Sembcorp Utilities (UK) Ltd
Biomass,0,13,14000,12320.0,2018,False,Sembcorp Utilities (UK) Ltd
CCGT,323.9755202891182,8,250000,212500.0,2019,False,Spalding Energy Company Ltd
OCGT,418.4779281371726,6,500000,460000.0,2018,False,Western Power Generation
