,Bid_Price_GBP/kW,Busbar,Capacity_kW,DeRated_Capacity_kW,Start_Year,Battery_Flag,Generation_Company
CCGT,0,23,250000,212500.0,2020,False,Baglan Generation Ltd
CCGT,0,10,250000,212500.0,2020,False,Barking Power
CCGT,0,7,250000,212500.0,2020,False,Centrica
OCGT,284.04554613164555,1,500000,460000.0,2019,False,Citigen (London) UK Ltd
CCGT,0,4,250000,212500.0,2020,False,Corby Power Ltd
CCGT,0,1,250000,212500.0,2020,False,Cory Energy Company Ltd
CCGT,0,15,250000,212500.0,2020,False,Derwent Cogeneration
OCGT,373.5778638471396,21,500000,460000.0,2019,False,Drax Power Ltd
CCGT,0,26,250000,212500.0,2020,False,EDF Energy
OCGT,426.47226492789014,4,500000,460000.0,2019,False,EDF Energy
Hydrogen,0,24,500000,425000.0,2020,False,EDF Energy
Biomass,0,28,14000,12320.0,2019,False,EPR Ely Limited
OCGT,428.2982780116859,7,500000,460000.0,2019,False,E.On UK
CCGT,0,26,250000,212500.0,2020,False,E.On UK
Biomass,0,20,14000,12320.0,2019,False,E.On UK
OCGT,435.3298373812901,14,500000,460000.0,2019,False,GDF Suez
CCGT,0,14,250000,212500.0,2020,False,GDF Suez
CCGT,0,2,250000,212500.0,2020,False,Immingham CHP LLP
OCGT,437.4427383662653,11,500000,460000.0,2019,False,International Power/Mitsui
CCGT,0,12,250000,212500.0,2020,False,International Power/Mitsui
BECCS,0,30,500000,440000.0,2019,False,International Power/Mitsui
CCGT,0,26,250000,212500.0,2020,False,Marchwood Power Limited
OCGT,441.5169026380847,21,500000,460000.0,2019,False,Px Limited
OCGT,443.2301761548251,7,500000,460000.0,2019,False,RGS Energy Ltd
CCGT,0,1,250000,212500.0,2020,False,Rocksavage Power Co. Ltd
OCGT,445.1416710493415,21,500000,460000.0,2019,False,RWE Npower Plc
CCGT,0,7,250000,212500.0,2020,False,RWE Npower Plc
CCGT,123.42206353391121,23,250000,212500.0,2020,False,Thermal
OCGT,459.6601388290262,10,500000,460000.0,2019,False,Thermal
OCGT,460.67248038836703,9,500000,460000.0,2019,False,Thermal (continued)
CCGT,266.78244297394497,26,250000,212500.0,2020,False,Cruachan Thermal
OCGT,459.6634599448148,3,500000,460000.0,2019,False,Cruachan Thermal
CCGT,364.86899847720235,10,250000,212500.0,2020,False,Seabank Power Limited
OCGT,462.7518978450322,10,500000,460000.0,2019,False,Sembcorp Utilities (UK) Ltd
Biomass,0,17,14000,12320.0,2019,False,Sembcorp Utilities (UK) Ltd
CCGT,421.00021387175195,18,250000,212500.0,2020,False,Spalding Energy Company Ltd
OCGT,454.44113008329487,11,500000,460000.0,2019,False,Western Power Generation
